namespace,container,pod,cpu,cpu_timestamp,memory,memory_timestamp
social-network,compose-post-service,compose-post-service-866f6d7b74-hl962,0.026663,1711969299493,2.39616e+06,1711969299493
kube-system,coredns,coredns-5d78c9869d-lcldh,1.952584,1711969299155,6.295552e+07,1711969299155
kube-system,etcd,etcd-minikube,19.049703,1711969299103,8.783872e+07,1711969299103
social-network,home-timeline-redis,home-timeline-redis-7994f7cb85-d89c9,1.845182,1711969299214,6.316032e+06,1711969299214
social-network,home-timeline-service,home-timeline-service-bbc9bdd7b-cndcg,0.030224,1711969299406,2.822144e+06,1711969299406
social-network,jaeger,jaeger-7455bdbc47-jchjt,0.33346,1711969299123,4.2950656e+07,1711969299123
kube-system,kube-apiserver,kube-apiserver-minikube,40.955256,1711969299103,3.74546432e+08,1711969299103
kube-system,kube-controller-manager,kube-controller-manager-minikube,16.824391,1711969299131,1.3299712e+08,1711969299131
kube-system,kube-proxy,kube-proxy-p8wcq,0.749804,1711969299276,7.0623232e+07,1711969299276
kube-system,kube-scheduler,kube-scheduler-minikube,3.270255,1711969299276,7.0221824e+07,1711969299276
social-network,media-frontend,media-frontend-7f4999dcd-n64xn,0.036101,1711969299924,2.5214976e+07,1711969299924
social-network,media-memcached,media-memcached-7c887f8cc6-l5q56,0.186381,1711969299451,8.024064e+06,1711969299451
social-network,media-mongodb,media-mongodb-cb6857b9f-gwf5w,5.400211,1711969299494,7.1143424e+07,1711969299494
social-network,media-service,media-service-7848df64c4-74h8s,0.024655,1711969299534,2.080768e+06,1711969299534
social-network,nginx-thrift,nginx-thrift-57fdb4c4f9-qn6tv,0.087624,1711969299763,3.3923072e+07,1711969299763
social-network,post-storage-memcached,post-storage-memcached-675b5c57bd-smb49,0.172335,1711969299319,1.712128e+06,1711969299319
social-network,post-storage-mongodb,post-storage-mongodb-5d7bfcd455-t6sdz,5.474924,1711969299459,7.4215424e+07,1711969299459
social-network,post-storage-service,post-storage-service-84b659876c-7tt26,0.05162,1711969299477,2.985984e+06,1711969299477
social-network,social-graph-mongodb,social-graph-mongodb-78b95799d7-856w7,5.670993,1711969299366,8.3120128e+07,1711969299366
social-network,social-graph-redis,social-graph-redis-7d9b494f66-px74j,1.857506,1711969299420,1.7772544e+07,1711969299420
social-network,social-graph-service,social-graph-service-55b7888dc7-b6jzj,0.053675,1711969299457,3.600384e+06,1711969299457
kube-system,storage-provisioner,storage-provisioner,1.581518,1711969299122,1.7166336e+07,1711969299122
social-network,text-service,text-service-76cf6557f7-zxtdn,0.030192,1711969299447,7.51616e+06,1711969299447
social-network,unique-id-service,unique-id-service-6b88dd4658-fzx7l,0.021991,1711969299400,2.154496e+06,1711969299400
social-network,url-shorten-memcached,url-shorten-memcached-55d47ccc88-7qv4c,0.186869,1711969299276,1.712128e+06,1711969299276
social-network,url-shorten-mongodb,url-shorten-mongodb-5697666656-cj7vm,5.5667,1711969299508,7.450624e+07,1711969299508
social-network,url-shorten-service,url-shorten-service-6d8bbf75f8-dgrh6,0.053686,1711969299417,5.738496e+06,1711969299417
social-network,user-memcached,user-memcached-67b7d46c5b-gsgk4,0.19065,1711969299275,7.000064e+06,1711969299275
social-network,user-mention-service,user-mention-service-764c7d97c5-7rw64,0.0315,1711969299457,2.777088e+06,1711969299457
social-network,user-mongodb,user-mongodb-86bb4559d-nmlch,5.590088,1711969299440,1.60350208e+08,1711969299440
social-network,user-service,user-service-74685b9465-8qlhb,0.054413,1711969299539,6.90176e+06,1711969299539
social-network,user-timeline-mongodb,user-timeline-mongodb-687f6576fb-m94rm,5.621688,1711969299535,7.409664e+07,1711969299535
social-network,user-timeline-redis,user-timeline-redis-6bf758cc4f-5mndw,1.84917,1711969298287,6.311936e+06,1711969298287
social-network,user-timeline-service,user-timeline-service-65d5766796-2wnnp,0.055528,1711969299497,3.330048e+06,1711969299497
social-network,compose-post-service,compose-post-service-866f6d7b74-hl962,0.026681,1711969315938,2.39616e+06,1711969315938
kube-system,coredns,coredns-5d78c9869d-lcldh,1.96877,1711969315723,6.2951424e+07,1711969315723
kube-system,etcd,etcd-minikube,19.235898,1711969315639,8.78592e+07,1711969315639
social-network,home-timeline-redis,home-timeline-redis-7994f7cb85-d89c9,1.864883,1711969315969,6.316032e+06,1711969315969
social-network,home-timeline-service,home-timeline-service-bbc9bdd7b-cndcg,0.030238,1711969315843,2.822144e+06,1711969315843
social-network,jaeger,jaeger-7455bdbc47-jchjt,0.336063,1711969315667,4.2950656e+07,1711969315667
kube-system,kube-apiserver,kube-apiserver-minikube,41.358317,1711969315649,3.74550528e+08,1711969315649
kube-system,kube-controller-manager,kube-controller-manager-minikube,16.95459,1711969315697,1.3299712e+08,1711969315697
kube-system,kube-proxy,kube-proxy-p8wcq,0.750476,1711969315667,7.0623232e+07,1711969315667
kube-system,kube-scheduler,kube-scheduler-minikube,3.294612,1711969315612,7.0221824e+07,1711969315612
social-network,media-frontend,media-frontend-7f4999dcd-n64xn,0.036101,1711969316561,2.5214976e+07,1711969316561
social-network,media-memcached,media-memcached-7c887f8cc6-l5q56,0.188243,1711969315893,8.024064e+06,1711969315893
social-network,media-mongodb,media-mongodb-cb6857b9f-gwf5w,5.454266,1711969315891,7.1143424e+07,1711969315891
social-network,media-service,media-service-7848df64c4-74h8s,0.024668,1711969315908,2.080768e+06,1711969315908
social-network,nginx-thrift,nginx-thrift-57fdb4c4f9-qn6tv,0.088119,1711969315448,3.3923072e+07,1711969315448
social-network,post-storage-memcached,post-storage-memcached-675b5c57bd-smb49,0.174157,1711969315843,1.712128e+06,1711969315843
social-network,post-storage-mongodb,post-storage-mongodb-5d7bfcd455-t6sdz,5.538714,1711969315932,7.4215424e+07,1711969315932
social-network,post-storage-service,post-storage-service-84b659876c-7tt26,0.051724,1711969315934,2.985984e+06,1711969315934
social-network,social-graph-mongodb,social-graph-mongodb-78b95799d7-856w7,5.7302,1711969315945,8.3116032e+07,1711969315945
social-network,social-graph-redis,social-graph-redis-7d9b494f66-px74j,1.876746,1711969315878,1.7772544e+07,1711969315878
social-network,social-graph-service,social-graph-service-55b7888dc7-b6jzj,0.053843,1711969315992,3.600384e+06,1711969315992
kube-system,storage-provisioner,storage-provisioner,1.595311,1711969315525,1.7240064e+07,1711969315525
social-network,text-service,text-service-76cf6557f7-zxtdn,0.030209,1711969315883,7.51616e+06,1711969315883
social-network,unique-id-service,unique-id-service-6b88dd4658-fzx7l,0.022008,1711969315883,2.154496e+06,1711969315883
